Race,Driver,Compound,Stint,StintLength,AvgPace,FirstThreeAvg,LastThreeAvg,PaceDropoff,DegradationRate
australian,RUS,INTERMEDIATE,6.0,13,107.53484615384615,103.54633333333334,89.54899999999999,-13.997333333333344,-1.0767179487179495
australian,STR,INTERMEDIATE,4.0,29,98.38765517241382,135.35633333333334,101.5,-33.85633333333334,-1.1674597701149427
australian,STR,HARD,5.0,11,114.55945454545454,110.10166666666665,92.52566666666667,-17.57599999999998,-1.59781818181818
australian,STR,INTERMEDIATE,6.0,13,107.88815384615387,105.09833333333334,90.55566666666665,-14.54266666666669,-1.1186666666666685
australian,TSU,INTERMEDIATE,4.0,29,97.67406896551724,137.42433333333335,97.075,-40.34933333333335,-1.391356321839081
australian,TSU,MEDIUM,5.0,13,112.87684615384615,116.17966666666666,95.07100000000001,-21.10866666666665,-1.6237435897435886
australian,TSU,INTERMEDIATE,6.0,10,108.59400000000001,132.98366666666666,91.64200000000001,-41.341666666666654,-4.134166666666665
australian,VER,INTERMEDIATE,4.0,30,97.12989999999999,139.90333333333334,101.61733333333335,-38.28599999999999,-1.2761999999999996
australian,VER,MEDIUM,5.0,11,112.33045454545454,126.25066666666665,97.423,-28.827666666666644,-2.6206969696969677
australian,VER,INTERMEDIATE,6.0,11,109.83245454545455,131.50366666666665,87.95300000000002,-43.55066666666663,-3.9591515151515115
austrian,ALB,MEDIUM,1.0,13,79.52061538461537,106.32033333333334,72.29566666666666,-34.024666666666675,-2.617282051282052
austrian,ALO,MEDIUM,1.0,33,75.01863636363638,106.72066666666666,73.265,-33.45566666666666,-1.0138080808080805
austrian,ALO,HARD,2.0,36,70.93097222222222,76.55499999999999,71.30066666666667,-5.254333333333321,-0.14595370370370336
austrian,BEA,SOFT,1.0,11,81.36736363636363,106.93033333333334,72.35066666666667,-34.57966666666667,-3.1436060606060607
austrian,BEA,HARD,2.0,28,72.17975,76.65233333333333,72.19433333333333,-4.457999999999998,-0.15921428571428567
austrian,BEA,MEDIUM,3.0,30,71.21576666666667,76.19333333333333,71.21666666666668,-4.976666666666645,-0.16588888888888817
austrian,BOR,MEDIUM,1.0,21,76.61404761904761,106.43866666666668,72.78033333333333,-33.658333333333346,-1.6027777777777783
austrian,BOR,MEDIUM,2.0,28,71.58167857142857,76.87,72.18933333333332,-4.680666666666681,-0.16716666666666719
austrian,BOR,HARD,3.0,20,70.82315000000001,76.209,71.29233333333333,-4.916666666666671,-0.24583333333333357
austrian,COL,SOFT,1.0,13,80.13207692307694,106.82266666666668,73.50833333333333,-33.31433333333335,-2.5626410256410272
austrian,COL,MEDIUM,2.0,26,72.61707692307692,77.141,73.22066666666666,-3.920333333333346,-0.15078205128205177
austrian,COL,HARD,3.0,30,71.18746666666668,75.83866666666667,70.57366666666667,-5.265000000000001,-0.17550000000000002
austrian,GAS,SOFT,1.0,12,80.45316666666666,106.20766666666667,73.02433333333333,-33.18333333333334,-2.765277777777778
austrian,GAS,HARD,2.0,26,72.40738461538461,76.88266666666668,72.83866666666667,-4.044000000000011,-0.15553846153846196
austrian,GAS,MEDIUM,3.0,31,71.378,76.532,71.45966666666668,-5.072333333333319,-0.163623655913978
austrian,HAD,MEDIUM,2.0,26,73.31519230769231,82.762,73.12533333333333,-9.63666666666667,-0.3706410256410258
austrian,HAD,HARD,3.0,41,71.46465853658536,76.56266666666669,71.405,-5.157666666666685,-0.12579674796748014
